game_number,day,active_networks,last_day_networks,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,l1_price,l2_price,l3_price,l4_price,l5_price,l6_price,l7_price
152,0,8,0,3,4,2,3,2,2,0,0,0.1971637690594082,0.19023576355515331,0.17307873404347707,0.11702672050456668,0.11422456349407306,0.10113257773594107,0.1008475026443682
152,1,8,0,3,4,2,3,3,2,0,0,0.1956853954283756,0.15285670880898236,0.14812880918951912,0.1324936687779616,0.1322499343360245,0.12305740620036122,0.11014219553755987
152,2,8,0,3,4,2,3,4,2,1,0,0.19328214451368364,0.16525054858820248,0.1606290378385722,0.15233271175236207,0.12510969910941544,0.12214513971980884,0.115645393428716
152,3,8,0,3,5,2,4,4,3,1,1,0.19958331913997324,0.17648812470088648,0.15968603478333293,0.15785312291542836,0.15091820050353638,0.12733645292562135,0.11501167257277123
152,4,8,8,3,6,2,4,4,3,1,1,0.16995419177751214,0.1472675873604174,0.14315116011273665,0.12886406173628565,0.12090958505132993,0.12053232628847081,0.11947237692519608
152,5,3,0,0,3,0,1,1,1,0,1,0.16838638222609337,0.16568624213652852,0.13909431816910395,0.1389558215893069,0.1305118794355558,0.11511759192269744,0.11063317656981621
152,6,4,0,0,4,0,2,1,1,0,1,0.8,0.19546075440029498,0.1778815753633259,0.13355820947059333,0.12959701178034458,0.1207141027351782,0.11660349161321941
152,7,4,1,1,5,0,2,2,2,0,1,0.1959484721565128,0.16571232734846797,0.16367183137479197,0.1624337937046091,0.14674260890598814,0.1457044541516983,0.12788189273839673
152,8,3,1,2,5,0,1,2,1,0,0,0.1949452119650366,0.18571869047912137,0.17665394595260653,0.17609113068718574,0.16854094491598243,0.1582413562331954,0.15239443147357626
152,9,3,1,2,5,0,2,2,1,0,0,0.20157130092888703,0.1789610772670498,0.17420963324347138,0.16451150832401784,0.14404764558029112,0.1268024247169258,0.11989937035813297
152,10,3,3,2,4,0,2,2,2,0,0,0.21709381313555853,0.19982839908195074,0.19023294794255713,0.18074553679771688,0.17978181158794576,0.16154656178720517,0.13485064618884973
152,11,1,1,2,2,1,1,2,2,1,0,0.21233183003508224,0.19542232335169146,0.18628318496863655,0.18282854283046487,0.14595423284753156,0.13236412883284743,0.1303732497547472
152,12,1,1,1,1,1,1,2,2,2,1,0.20756984693460595,0.17993506514231425,0.15702600691598473,0.15495337013513177,0.12059646013117403,0.11753862020352432,0.10509327359125861
152,13,2,0,2,2,1,1,3,2,2,1,0.1985533764530839,0.18426493986283396,0.17132898969570287,0.1667612972138508,0.16485968850179722,0.15286100601967664,0.14662572999433526
152,14,3,0,2,3,1,1,3,3,2,1,0.17993834959632068,0.16100915468396487,0.15239279113520415,0.15048547520262,0.13586704984694198,0.1182891542312913,0.11762185006022219
152,15,3,1,2,3,1,1,3,4,2,2,0.19541253895229443,0.18189949313379367,0.18124821613452166,0.17993834959632068,0.16953296193363132,0.1521244830003889,0.15094252395113417
152,16,3,1,2,3,0,1,2,4,1,2,0.21592601951558482,0.197507708251635,0.19160012982461871,0.18400600575127218,0.15509515205840685,0.14555120276750333,0.1384458254122386
152,17,3,1,2,2,0,1,3,3,2,2,0.21159942924907155,0.19749391953187423,0.18545284728364053,0.16937094406371583,0.1230291989832503,0.10929963366003201,0.107517641258148
152,18,3,1,2,2,0,1,2,2,2,2,0.2281310906794315,0.196221414806909,0.19598190904021517,0.19260199705746384,0.19068236962297985,0.14563255023955354,0.14025941792989322
152,19,3,1,3,1,0,0,2,2,2,2,0.2233691075789552,0.19879634749540737,0.17790178083882002,0.16526222022406062,0.16504764837498082,0.1620085477855258,0.13018151047202575
152,20,3,0,3,1,0,0,2,2,1,2,0.2186071244784789,0.19321347680931322,0.18545263400118953,0.16575464909436097,0.15223390782650786,0.13798279582745937,0.11889155491272868
152,21,3,1,3,1,0,0,3,3,1,2,0.2303559820183353,0.18017724204899815,0.17951419377280003,0.1771919277222605,0.14261095051962908,0.13194850668194136,0.11674186242452891
152,22,3,0,4,2,0,0,2,2,0,1,0.2252263293809349,0.1655822849580446,0.15915632694282722,0.15432307083900904,0.14970203052081754,0.1451306331605331,0.14435854697139705
152,23,3,1,4,2,0,0,3,3,0,1,0.23388619816928735,0.1869740841287349,0.17979994428033635,0.17791378886672293,0.1714046104175312,0.1637379930078971,0.11994205118250388
152,24,3,2,5,3,0,0,3,3,0,1,0.2284351619653712,0.19992354767837292,0.16023771988079494,0.15764266310514946,0.14288722344684002,0.14166521438335478,0.12385469977234678
152,25,2,1,5,4,0,0,2,2,0,0,0.22298412576145507,0.19586902837638992,0.19321027089992998,0.1744322241301019,0.1680059884282778,0.14120987827642073,0.12774012504200616
152,26,3,0,4,4,0,0,1,2,0,0,0.19003522587562122,0.18857578735997754,0.18223464327923017,0.18087557063467605,0.16506342854629905,0.1636183097892031,0.14837905368529333
152,27,4,2,4,4,0,0,1,3,0,1,0.1889671249218312,0.18557472990657814,0.18527324277514493,0.180451901331649,0.14415130094184395,0.13947920032185007,0.12903407446826362
152,28,3,1,4,3,1,1,1,3,0,1,0.20200023190072663,0.1973640607805236,0.19606512970907658,0.16806942148512038,0.15655881894862828,0.15581811373494212,0.11885432592932872
152,29,3,0,3,2,2,1,1,2,1,1,0.1946738607406469,0.19287293382351134,0.17320354846219177,0.17268616564965472,0.1538590292786944,0.15000238053143694,0.13738483646553515
152,30,4,1,4,3,2,1,2,3,1,1,0.17268616564965472,0.16893273272875098,0.15517399515034497,0.1539042271136458,0.1387535132455457,0.1382524931563243,0.10786620692968268
